user_id,LastPurchaseDate,PurchaseFrequency,TotalSpent
77,2023-08-28 06:26:00.000000 UTC,1,34
107,2023-12-01 14:52:00.000000 UTC,1,40
144,2021-09-18 12:18:00.000000 UTC,1,175
190,2024-03-07 04:56:00.000000 UTC,1,78
245,2022-07-07 05:50:00.000000 UTC,1,34
246,2022-02-09 13:48:00.000000 UTC,1,84.97000122
255,2023-10-19 00:50:00.000000 UTC,1,93.76999664
287,2021-07-25 01:33:00.000000 UTC,1,50.97999954
309,2023-02-24 13:39:00.000000 UTC,1,12.98999977
319,2023-01-01 08:52:00.000000 UTC,1,123
330,2024-01-29 01:57:00.000000 UTC,1,13.22999954
332,2021-03-08 15:41:00.000000 UTC,1,101.920002
366,2022-03-28 15:37:00.000000 UTC,1,27.98999977
372,2024-02-01 07:31:00.000000 UTC,1,229
475,2023-11-16 15:28:00.000000 UTC,1,46
479,2024-02-23 03:47:00.000000 UTC,1,30
518,2024-02-27 05:47:00.000000 UTC,1,65.90000153
519,2022-01-27 07:24:00.000000 UTC,1,54.49000168
554,2022-11-26 09:37:00.000000 UTC,1,22.79000092
608,2020-12-05 06:31:00.000000 UTC,1,119.5
627,2023-07-31 17:38:00.000000 UTC,1,14.98999977
743,2023-12-21 16:28:00.000000 UTC,1,42.11000061
810,2022-04-06 16:52:00.000000 UTC,1,25
813,2023-07-22 17:10:00.000000 UTC,1,163.9400005
819,2021-09-08 13:45:00.000000 UTC,1,29.98999977
834,2022-12-23 10:34:00.000000 UTC,1,49.99000168
965,2021-12-19 07:55:00.000000 UTC,1,10
983,2023-09-25 10:15:00.000000 UTC,1,67.5
1043,2021-08-12 16:24:00.000000 UTC,1,42
1044,2023-03-18 03:11:00.000000 UTC,1,71.25
1045,2024-02-02 05:57:00.000000 UTC,1,69
1149,2021-12-30 00:03:00.000000 UTC,1,5
1161,2024-03-08 02:25:00.000000 UTC,1,99
1184,2023-08-02 11:21:00.000000 UTC,1,118
1202,2023-07-20 07:38:00.000000 UTC,1,69.98999786
1217,2024-01-21 01:51:00.000000 UTC,1,9.029999733
1245,2022-05-21 03:22:00.000000 UTC,1,168
1248,2023-05-31 14:31:00.000000 UTC,1,160
1318,2022-06-22 18:43:00.000000 UTC,1,46.99000168
1375,2022-09-07 13:35:00.000000 UTC,1,499.3000002
1394,2022-09-04 06:23:00.000000 UTC,1,44.97999954
1401,2023-12-11 09:01:00.000000 UTC,1,225
1412,2023-09-15 12:25:00.000000 UTC,1,129.9900017
1436,2023-04-06 17:12:00.000000 UTC,1,57.28000164
1465,2024-01-12 00:55:00.000000 UTC,1,76
1501,2020-10-14 10:32:00.000000 UTC,1,29.98999977
1523,2024-02-28 00:15:00.000000 UTC,1,75.59999847
1532,2022-07-23 09:31:00.000000 UTC,1,53.97999954
1548,2022-11-01 06:23:00.000000 UTC,1,25.98999977
1577,2023-09-21 14:41:00.000000 UTC,1,99.5
1592,2024-02-13 16:47:00.000000 UTC,1,67.98999786
1598,2024-02-03 11:43:00.000000 UTC,1,43.87999916
1603,2023-01-03 10:27:00.000000 UTC,1,147.1300049
1654,2023-02-13 01:09:00.000000 UTC,1,139.9900055
1683,2021-04-25 04:28:00.000000 UTC,1,8.550000191
1688,2024-02-07 06:51:00.000000 UTC,1,36.95000076
1726,2023-07-15 04:56:00.000000 UTC,1,13.98999977
1764,2023-03-26 11:35:00.000000 UTC,1,4.949999809
1900,2023-08-04 08:02:00.000000 UTC,1,135
1920,2022-12-19 13:32:00.000000 UTC,1,26
1949,2024-01-10 08:51:00.000000 UTC,1,39
2030,2022-03-08 04:34:00.000000 UTC,1,25
2049,2023-11-27 08:29:00.000000 UTC,1,288
2109,2023-09-09 13:33:00.000000 UTC,1,20.98999977
2114,2022-05-29 11:11:00.000000 UTC,1,16.95000076
2172,2021-10-03 16:11:00.000000 UTC,1,94.99000168
2183,2024-03-12 16:25:54.358800 UTC,1,89.98999786
2222,2024-02-14 10:15:00.000000 UTC,1,84
2229,2021-05-13 02:02:00.000000 UTC,1,48
2244,2022-12-22 08:25:00.000000 UTC,1,40
2375,2023-10-23 16:46:00.000000 UTC,1,36
2378,2022-03-28 14:21:00.000000 UTC,1,3.99000001
2387,2022-03-16 01:58:00.000000 UTC,1,18
2415,2020-10-09 14:59:00.000000 UTC,1,158
2458,2023-01-22 02:36:00.000000 UTC,1,53.03000069
2514,2022-05-02 08:11:00.000000 UTC,1,24.98999977
2517,2021-11-26 17:51:00.000000 UTC,1,92.5
2553,2023-12-17 08:44:00.000000 UTC,1,54.98999977
2564,2022-12-16 11:46:00.000000 UTC,1,32.95000076
2635,2020-04-24 17:49:00.000000 UTC,1,60
2664,2022-04-05 18:52:00.000000 UTC,1,34.99000168
2674,2019-04-21 07:52:00.000000 UTC,1,153.470005
2702,2023-12-04 16:42:00.000000 UTC,1,110.9899979
2779,2023-12-19 14:23:00.000000 UTC,1,98.75000191
2792,2023-11-17 04:46:00.000000 UTC,1,69.48999977
2843,2022-03-19 02:24:00.000000 UTC,1,205.3099976
2854,2024-03-12 04:00:15.139271 UTC,1,220
2876,2019-03-26 05:50:00.000000 UTC,1,57.98999977
2927,2024-01-13 12:05:00.000000 UTC,1,49.99000168
2981,2024-01-20 16:04:00.000000 UTC,1,91.92999649
3012,2023-01-30 13:26:00.000000 UTC,1,10
3022,2023-10-31 00:53:00.000000 UTC,1,98
3053,2024-02-13 15:15:00.000000 UTC,1,29.95000076
3059,2024-03-12 14:26:21.664490 UTC,1,118
3060,2022-12-07 18:07:00.000000 UTC,1,42
3134,2021-12-10 14:55:00.000000 UTC,1,97.43000031
3149,2021-04-12 00:29:00.000000 UTC,1,10
3196,2022-11-10 17:37:00.000000 UTC,1,40.47999954
3232,2022-10-09 01:00:00.000000 UTC,1,39.5
3236,2024-02-20 00:41:00.000000 UTC,1,903
3244,2024-02-07 09:38:00.000000 UTC,1,59.95000076
3256,2023-12-03 08:45:00.000000 UTC,1,68.48999977
3280,2020-12-22 03:13:00.000000 UTC,1,195
3354,2023-09-09 00:05:00.000000 UTC,1,9.989999771
3392,2024-02-01 09:34:00.000000 UTC,1,153.9899998
3456,2022-07-17 11:54:00.000000 UTC,1,36.24000168
3471,2022-11-23 04:44:00.000000 UTC,1,34.97999954
3475,2022-05-22 14:25:00.000000 UTC,1,8.979999542
3480,2024-03-08 15:14:00.000000 UTC,1,12.85999966
3511,2020-03-16 09:13:00.000000 UTC,1,18
3540,2023-09-06 05:25:00.000000 UTC,1,73
3557,2023-07-06 15:09:00.000000 UTC,1,97.44999886
3603,2024-03-04 02:14:00.000000 UTC,1,71.00999928
3625,2024-02-05 10:02:00.000000 UTC,1,25
3637,2023-06-25 07:12:00.000000 UTC,1,207.7799997
3638,2023-04-29 01:35:00.000000 UTC,1,81.98000145
3684,2022-11-15 18:25:00.000000 UTC,1,54.99000168
3709,2023-08-12 04:24:00.000000 UTC,1,12
3732,2023-07-15 06:40:00.000000 UTC,1,325
3788,2024-01-13 11:22:00.000000 UTC,1,19.98999977
3851,2023-04-27 11:55:00.000000 UTC,1,8.989999771
3853,2022-09-03 09:43:00.000000 UTC,1,22.98999977
3868,2022-12-31 06:06:00.000000 UTC,1,221.9699936
3910,2022-01-01 10:06:00.000000 UTC,1,39.93999863
3925,2021-09-23 08:48:00.000000 UTC,1,19.98999977
3948,2022-09-08 04:38:00.000000 UTC,1,33.95000076
3951,2023-06-29 07:45:00.000000 UTC,1,20
3969,2023-11-13 10:51:00.000000 UTC,1,29.98999977
3999,2023-09-03 13:03:00.000000 UTC,1,68
4006,2023-12-28 09:21:00.000000 UTC,1,25
4010,2023-03-25 01:25:00.000000 UTC,1,265
4013,2023-06-06 08:14:00.000000 UTC,1,34.99000168
4034,2024-03-13 04:42:51.936850 UTC,1,111
4058,2023-10-01 12:49:00.000000 UTC,1,8.949999809
4078,2024-03-09 06:57:00.000000 UTC,1,45.36000061
4106,2022-09-30 15:40:00.000000 UTC,1,74
4110,2023-11-25 15:11:00.000000 UTC,1,88
4119,2023-04-01 16:00:00.000000 UTC,1,36
4124,2023-12-31 17:07:00.000000 UTC,1,55.43999863
4149,2024-03-01 15:38:00.000000 UTC,1,32.65000153
4168,2021-05-12 06:32:00.000000 UTC,1,152
4172,2022-07-03 14:39:00.000000 UTC,1,398
4210,2021-01-17 09:35:00.000000 UTC,1,11.43999958
4238,2023-04-29 17:52:00.000000 UTC,1,25.09000015
4240,2023-08-30 16:03:00.000000 UTC,1,19.95000076
4242,2023-10-03 11:22:00.000000 UTC,1,7.980000019
4318,2021-02-13 16:50:00.000000 UTC,1,42.99000168
4351,2021-10-02 14:03:00.000000 UTC,1,93.98999786
4373,2022-03-02 00:08:00.000000 UTC,1,41.99000168
